TITLE	URL	URL_WIKIPEDIA	URL_VIKIDIA
'Pataphysique	/wiki/%27Pataphysique	https://fr.wikipedia.org/wiki/%27Pataphysique	https://fr.vikidia.org/wiki/%27Pataphysique
(11284) Belenos	/wiki/(11284)_Belenos	https://fr.wikipedia.org/wiki/(11284)_Belenos	https://fr.vikidia.org/wiki/(11284)_Belenos
(1417) Walinskia	/wiki/(1417)_Walinskia	https://fr.wikipedia.org/wiki/(1417)_Walinskia	https://fr.vikidia.org/wiki/(1417)_Walinskia
(162000) 1990 OS	/wiki/(162000)_1990_OS	https://fr.wikipedia.org/wiki/(162000)_1990_OS	https://fr.vikidia.org/wiki/(162000)_1990_OS
(243) Ida	/wiki/(243)_Ida	https://fr.wikipedia.org/wiki/(243)_Ida	https://fr.vikidia.org/wiki/(243)_Ida
(367943) Duende	/wiki/(367943)_Duende	https://fr.wikipedia.org/wiki/(367943)_Duende	https://fr.vikidia.org/wiki/(367943)_Duende
(382395) 1990 SM	/wiki/(382395)_1990_SM	https://fr.wikipedia.org/wiki/(382395)_1990_SM	https://fr.vikidia.org/wiki/(382395)_1990_SM
(50000) Quaoar	/wiki/(50000)_Quaoar	https://fr.wikipedia.org/wiki/(50000)_Quaoar	https://fr.vikidia.org/wiki/(50000)_Quaoar
(5189) 1990 UQ	/wiki/(5189)_1990_UQ	https://fr.wikipedia.org/wiki/(5189)_1990_UQ	https://fr.vikidia.org/wiki/(5189)_1990_UQ
(5236) Yoko	/wiki/(5236)_Yoko	https://fr.wikipedia.org/wiki/(5236)_Yoko	https://fr.vikidia.org/wiki/(5236)_Yoko
(8652) Acacia	/wiki/(8652)_Acacia	https://fr.wikipedia.org/wiki/(8652)_Acacia	https://fr.vikidia.org/wiki/(8652)_Acacia
-	/wiki/-	https://fr.wikipedia.org/wiki/-	https://fr.vikidia.org/wiki/-
0 (nombre)	/wiki/0_(nombre)	https://fr.wikipedia.org/wiki/0_(nombre)	https://fr.vikidia.org/wiki/0_(nombre)
0 A.D.	/wiki/0_A.D.	https://fr.wikipedia.org/wiki/0_A.D.	https://fr.vikidia.org/wiki/0_A.D.
1, rue Sésame	/wiki/1,_rue_S%C3%A9same	https://fr.wikipedia.org/wiki/1,_rue_S%C3%A9same	https://fr.vikidia.org/wiki/1,_rue_S%C3%A9same
10-Yard Fight	/wiki/10-Yard_Fight	https://fr.wikipedia.org/wiki/10-Yard_Fight	https://fr.vikidia.org/wiki/10-Yard_Fight
1000	/wiki/1000	https://fr.wikipedia.org/wiki/1000	https://fr.vikidia.org/wiki/1000
100 (nombre)	/wiki/100_(nombre)	https://fr.wikipedia.org/wiki/100_(nombre)	https://fr.vikidia.org/wiki/100_(nombre)
1066	/wiki/1066	https://fr.wikipedia.org/wiki/1066	https://fr.vikidia.org/wiki/1066
10 (nombre)	/wiki/10_(nombre)	https://fr.wikipedia.org/wiki/10_(nombre)	https://fr.vikidia.org/wiki/10_(nombre)
10 Downing Street	/wiki/10_Downing_Street	https://fr.wikipedia.org/wiki/10_Downing_Street	https://fr.vikidia.org/wiki/10_Downing_Street
11 (nombre)	/wiki/11_(nombre)	https://fr.wikipedia.org/wiki/11_(nombre)	https://fr.vikidia.org/wiki/11_(nombre)
11 novembre	/wiki/11_novembre	https://fr.wikipedia.org/wiki/11_novembre	https://fr.vikidia.org/wiki/11_novembre
12 Square Grimmaud	/wiki/12_Square_Grimmaud	https://fr.wikipedia.org/wiki/12_Square_Grimmaud	https://fr.vikidia.org/wiki/12_Square_Grimmaud
13 (nombre)	/wiki/13_(nombre)	https://fr.wikipedia.org/wiki/13_(nombre)	https://fr.vikidia.org/wiki/13_(nombre)
13 Block	/wiki/13_Block	https://fr.wikipedia.org/wiki/13_Block	https://fr.vikidia.org/wiki/13_Block
13 French Street	/wiki/13_French_Street	https://fr.wikipedia.org/wiki/13_French_Street	https://fr.vikidia.org/wiki/13_French_Street
14-18 Folie meurtrière	/wiki/14-18_Folie_meurtri%C3%A8re	https://fr.wikipedia.org/wiki/14-18_Folie_meurtri%C3%A8re	https://fr.vikidia.org/wiki/14-18_Folie_meurtri%C3%A8re
141 R	/wiki/141_R	https://fr.wikipedia.org/wiki/141_R	https://fr.vikidia.org/wiki/141_R
14ème district de New York	/wiki/14%C3%A8me_district_de_New_York	https://fr.wikipedia.org/wiki/14%C3%A8me_district_de_New_York	https://fr.vikidia.org/wiki/14%C3%A8me_district_de_New_York
16 Cygni	/wiki/16_Cygni	https://fr.wikipedia.org/wiki/16_Cygni	https://fr.vikidia.org/wiki/16_Cygni
16 Cygni Bb	/wiki/16_Cygni_Bb	https://fr.wikipedia.org/wiki/16_Cygni_Bb	https://fr.vikidia.org/wiki/16_Cygni_Bb
1789	/wiki/1789	https://fr.wikipedia.org/wiki/1789	https://fr.vikidia.org/wiki/1789
1794	/wiki/1794	https://fr.wikipedia.org/wiki/1794	https://fr.vikidia.org/wiki/1794
1815 : Les rois d’Europe rétablissent leur pouvoir	/wiki/1815_:_Les_rois_d%E2%80%99Europe_r%C3%A9tablissent_leur_pouvoir	https://fr.wikipedia.org/wiki/1815_:_Les_rois_d%E2%80%99Europe_r%C3%A9tablissent_leur_pouvoir	https://fr.vikidia.org/wiki/1815_:_Les_rois_d%E2%80%99Europe_r%C3%A9tablissent_leur_pouvoir
1851	/wiki/1851	https://fr.wikipedia.org/wiki/1851	https://fr.vikidia.org/wiki/1851
1857	/wiki/1857	https://fr.wikipedia.org/wiki/1857	https://fr.vikidia.org/wiki/1857
1984	/wiki/1984	https://fr.wikipedia.org/wiki/1984	https://fr.vikidia.org/wiki/1984
1984 (roman)	/wiki/1984_(roman)	https://fr.wikipedia.org/wiki/1984_(roman)	https://fr.vikidia.org/wiki/1984_(roman)
